ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T38C08_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C08_acam, energyCAM, , Accumulator, 25409410000, 12, 132521534162.424408, 1765780714000.620361, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C08_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C08_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
T38C08_acam, energyPC, , Accumulator, 25409410000, 12, 2868203531.765103, 42283056270.446457, 194560000, 14.742000, 14.742000, 0, 0, 0, 0
T38C08_acam, energyREG, , Accumulator, 25409410000, 12, 9119759106.712368, 55958333645295640576.000000, 195320001, 8.170000, 7480530303.999998, 0, 0, 0, 0
T38C08__mpe, activeCycle, , Accumulator, 25409410000, 12, 0, 0, 1160000, 0, 0, 1160000, 1160000, 1, 1
T38C09_ctrl, activeCycleF, , Accumulator, 25409410000, 12, 0, 0, 25409410, 0, 0, 25409410, 25409410, 1, 1
T38C09_ctrl, activeCycleD, , Accumulator, 25409410000, 12, 0, 0, 25012749, 0, 0, 25012749, 25012749, 1, 1
T38C09_ctrl, activeCycleM, , Accumulator, 25409410000, 12, 0, 0, 4277165, 0, 0, 4277165, 4277165, 1, 1
T38C09_ctrl, activeCycleALU, , Accumulator, 25409410000, 12, 0, 0, 17202748, 0, 0, 17202748, 17202748, 1, 1
T38C09_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C09_acam, energyCAM, , Accumulator, 25409410000, 12, 132840126332.889816, 1768206442340.635986, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C09_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C09_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
T38C09_acam, energyPC, , Accumulator, 25409410000, 12, 2868203531.765103, 42283056270.446457, 194560000, 14.742000, 14.742000, 0, 0, 0, 0
T38C09_acam, energyREG, , Accumulator, 25409410000, 12, 9119759106.712368, 55958333645295640576.000000, 195320001, 8.170000, 7480530303.999998, 0, 0, 0, 0
T38C09__mpe, activeCycle, , Accumulator, 25409410000, 12, 0, 0, 1160000, 0, 0, 1160000, 1160000, 1, 1
T38C10_ctrl, activeCycleF, , Accumulator, 25409410000, 12, 0, 0, 25409410, 0, 0, 25409410, 25409410, 1, 1
T38C10_ctrl, activeCycleD, , Accumulator, 25409410000, 12, 0, 0, 25012749, 0, 0, 25012749, 25012749, 1, 1
T38C10_ctrl, activeCycleM, , Accumulator, 25409410000, 12, 0, 0, 4277165, 0, 0, 4277165, 4277165, 1, 1
T38C10_ctrl, activeCycleALU, , Accumulator, 25409410000, 12, 0, 0, 17202748, 0, 0, 17202748, 17202748, 1, 1
T38C10_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C10_acam, energyCAM, , Accumulator, 25409410000, 12, 132543548377.857346, 1766085017354.501465, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C10_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C10_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
T38C10_acam, energyPC, , Accumulator, 25409410000, 12, 2868203531.765103, 42283056270.446457, 194560000, 14.742000, 14.742000, 0, 0, 0, 0
T38C10_acam, energyREG, , Accumulator, 25409410000, 12, 9119759106.712368, 55958333645295640576.000000, 195320001, 8.170000, 7480530303.999998, 0, 0, 0, 0
T38C10__mpe, activeCycle, , Accumulator, 25409410000, 12, 0, 0, 1160000, 0, 0, 1160000, 1160000, 1, 1
T38C11_ctrl, activeCycleF, , Accumulator, 25409410000, 12, 0, 0, 25409410, 0, 0, 25409410, 25409410, 1, 1
T38C11_ctrl, activeCycleD, , Accumulator, 25409410000, 12, 0, 0, 25012749, 0, 0, 25012749, 25012749, 1, 1
T38C11_ctrl, activeCycleM, , Accumulator, 25409410000, 12, 0, 0, 4277165, 0, 0, 4277165, 4277165, 1, 1
T38C11_ctrl, activeCycleALU, , Accumulator, 25409410000, 12, 0, 0, 17202748, 0, 0, 17202748, 17202748, 1, 1
T38C11_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C11_acam, energyCAM, , Accumulator, 25409410000, 12, 132664477456.363312, 1766436437586.201660, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
T38C11_acam, energyDAC, , Accumulator, 25409410000, 12, 35064704.126966, 1617807204.580073, 760000, 46.137769, 46.137769, 0, 0, 0, 0
T38C11_acam, energySA, , Accumulator, 25409410000, 12, 3502080000.000000, 63037439999.999992, 194560000, 18.000000, 18.000000, 0, 0, 0, 0
T38C11_acam, energyPC, , Accumulator, 25409410000, 12, 2868203531.765103, 42283056270.446457, 194560000, 14.742000, 14.742000, 0, 0, 0, 0
T38C11_acam, energyREG, , Accumulator, 25409410000, 12, 9119759106.712368, 55958333645295640576.000000, 195320001, 8.170000, 7480530303.999998, 0, 0, 0, 0
T38C11__mpe, activeCycle, , Accumulator, 25409410000, 12, 0, 0, 1160000, 0, 0, 1160000, 1160000, 1, 1
T38C12_ctrl, activeCycleF, , Accumulator, 25409410000, 12, 0, 0, 25409410, 0, 0, 25409410, 25409410, 1, 1
T38C12_ctrl, activeCycleD, , Accumulator, 25409410000, 12, 0, 0, 25012749, 0, 0, 25012749, 25012749, 1, 1
T38C12_ctrl, activeCycleM, , Accumulator, 25409410000, 12, 0, 0, 4277165, 0, 0, 4277165, 4277165, 1, 1
T38C12_ctrl, activeCycleALU, , Accumulator, 25409410000, 12, 0, 0, 17202748, 0, 0, 17202748, 17202748, 1, 1
T38C12_ctrl, activeCycleFPU, , Accumulator, 25409410000, 12, 0, 0, 2090000, 0, 0, 2090000, 2090000, 1, 1
T38C12_acam, energyCAM, , Accumulator, 25409410000, 12, 132264744386.601028, 1764886726980.131836, 50001920000, 0.646400, 87.552000, 0, 0, 0, 0
