ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.f64, SumSQ.f64, Min.f64, Max.f64
T20C14_acam, energySA, , Accumulator, 104921410000, 6, 0, 0, 808960000, 0, 0, 14561279999.999998, 262103039999.999969, 18.000000, 18.000000
T20C14_acam, energyPC, , Accumulator, 104921410000, 6, 0, 0, 808960000, 0, 0, 11925688364.020117, 175808499092.378204, 14.742000, 14.742000
T20C14_acam, energyREG, , Accumulator, 104921410000, 6, 0, 0, 812120001, 0, 0, 37704603953.294334, 954121863925148942336.000000, 8.170000, 30888863104.000000
T20C14__mpe, activeCycle, , Accumulator, 104921410000, 6, 4760000, 4760000, 4760000, 1, 1, 0, 0, 0, 0
T20C15_ctrl, activeCycleF, , Accumulator, 104921410000, 6, 104921410, 104921410, 104921410, 1, 1, 0, 0, 0, 0
T20C15_ctrl, activeCycleD, , Accumulator, 104921410000, 6, 103272249, 103272249, 103272249, 1, 1, 0, 0, 0, 0
T20C15_ctrl, activeCycleM, , Accumulator, 104921410000, 6, 17529665, 17529665, 17529665, 1, 1, 0, 0, 0, 0
T20C15_ctrl, activeCycleALU, , Accumulator, 104921410000, 6, 70862248, 70862248, 70862248, 1, 1, 0, 0, 0, 0
T20C15_ctrl, activeCycleFPU, , Accumulator, 104921410000, 6, 8690000, 8690000, 8690000, 1, 1, 0, 0, 0, 0
T20C15_acam, energyCAM, , Accumulator, 104921410000, 6, 0, 0, 207902720000, 0, 0, 558808879067.624023, 7380388138550.631836, 0.646400, 87.552000
T20C15_acam, energyDAC, , Accumulator, 104921410000, 6, 0, 0, 3160000, 0, 0, 145795348.731503, 6726672061.300043, 46.137769, 46.137769
T20C15_acam, energySA, , Accumulator, 104921410000, 6, 0, 0, 808960000, 0, 0, 14561279999.999998, 262103039999.999969, 18.000000, 18.000000
T20C15_acam, energyPC, , Accumulator, 104921410000, 6, 0, 0, 808960000, 0, 0, 11925688364.020117, 175808499092.378204, 14.742000, 14.742000
T20C15_acam, energyREG, , Accumulator, 104921410000, 6, 0, 0, 812120001, 0, 0, 37704603953.294334, 954121863925148942336.000000, 8.170000, 30888863104.000000
T20C15__mpe, activeCycle, , Accumulator, 104921410000, 6, 4760000, 4760000, 4760000, 1, 1, 0, 0, 0, 0
T21_ctrl, activeCycleF, , Accumulator, 104921410000, 6, 104921410, 104921410, 104921410, 1, 1, 0, 0, 0, 0
T21_ctrl, activeCycleD, , Accumulator, 104921410000, 6, 84897350, 84897350, 84897350, 1, 1, 0, 0, 0, 0
T21_ctrl, activeCycleM, , Accumulator, 104921410000, 6, 46894465, 72174465, 34254465, 1, 2, 0, 0, 0, 0
T21_ctrl, activeCycleALU, , Accumulator, 104921410000, 6, 84097249, 84097249, 84097249, 1, 1, 0, 0, 0, 0
T21_ctrl, activeCycleFPU, , Accumulator, 104921410000, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
T21C00_ctrl, activeCycleF, , Accumulator, 104921410000, 6, 104921410, 104921410, 104921410, 1, 1, 0, 0, 0, 0
T21C00_ctrl, activeCycleD, , Accumulator, 104921410000, 6, 103272249, 103272249, 103272249, 1, 1, 0, 0, 0, 0
T21C00_ctrl, activeCycleM, , Accumulator, 104921410000, 6, 17529665, 17529665, 17529665, 1, 1, 0, 0, 0, 0
T21C00_ctrl, activeCycleALU, , Accumulator, 104921410000, 6, 70862248, 70862248, 70862248, 1, 1, 0, 0, 0, 0
T21C00_ctrl, activeCycleFPU, , Accumulator, 104921410000, 6, 8690000, 8690000, 8690000, 1, 1, 0, 0, 0, 0
T21C00_acam, energyCAM, , Accumulator, 104921410000, 6, 0, 0, 207902720000, 0, 0, 559768987375.223633, 7389776886258.827148, 0.646400, 87.552000
