ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.f64, SumSQ.f64, Min.f64, Max.f64
T41C11__mpe, activeCycle, , Accumulator, 13497115000, 13, 620000, 620000, 620000, 1, 1, 0, 0, 0, 0
T41C12_ctrl, activeCycleF, , Accumulator, 13497115000, 13, 13497115, 13497115, 13497115, 1, 1, 0, 0, 0, 0
T41C12_ctrl, activeCycleD, , Accumulator, 13497115000, 13, 13285893, 13285893, 13285893, 1, 1, 0, 0, 0, 0
T41C12_ctrl, activeCycleM, , Accumulator, 13497115000, 13, 2291726, 2291726, 2291726, 1, 1, 0, 0, 0, 0
T41C12_ctrl, activeCycleALU, , Accumulator, 13497115000, 13, 9165893, 9165893, 9165893, 1, 1, 0, 0, 0, 0
T41C12_ctrl, activeCycleFPU, , Accumulator, 13497115000, 13, 1100000, 1100000, 1100000, 1, 1, 0, 0, 0, 0
T41C12_acam, energyCAM, , Accumulator, 13497115000, 13, 0, 0, 26316800000, 0, 0, 70190509508.893738, 930744429250.397949, 0.646400, 87.552000
T41C12_acam, energyDAC, , Accumulator, 13497115000, 13, 0, 0, 400000, 0, 0, 18455107.434941, 851477476.084525, 46.137769, 46.137769
T41C12_acam, energySA, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1843200000.000000, 33177599999.999996, 18.000000, 18.000000
T41C12_acam, energyPC, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1509580802.272916, 22254240198.585648, 14.742000, 14.742000
T41C12_acam, energyREG, , Accumulator, 13497115000, 13, 0, 0, 102800001, 0, 0, 4836302654.692507, 15789104824341880832.000000, 8.170000, 3973550655.999999
T41C12__mpe, activeCycle, , Accumulator, 13497115000, 13, 620000, 620000, 620000, 1, 1, 0, 0, 0, 0
T41C13_ctrl, activeCycleF, , Accumulator, 13497115000, 13, 13497115, 13497115, 13497115, 1, 1, 0, 0, 0, 0
T41C13_ctrl, activeCycleD, , Accumulator, 13497115000, 13, 13285893, 13285893, 13285893, 1, 1, 0, 0, 0, 0
T41C13_ctrl, activeCycleM, , Accumulator, 13497115000, 13, 2291726, 2291726, 2291726, 1, 1, 0, 0, 0, 0
T41C13_ctrl, activeCycleALU, , Accumulator, 13497115000, 13, 9165893, 9165893, 9165893, 1, 1, 0, 0, 0, 0
T41C13_ctrl, activeCycleFPU, , Accumulator, 13497115000, 13, 1100000, 1100000, 1100000, 1, 1, 0, 0, 0, 0
T41C13_acam, energyCAM, , Accumulator, 13497115000, 13, 0, 0, 26316800000, 0, 0, 70482174888.589096, 932137826959.236572, 0.646400, 87.552000
T41C13_acam, energyDAC, , Accumulator, 13497115000, 13, 0, 0, 400000, 0, 0, 18455107.434941, 851477476.084525, 46.137769, 46.137769
T41C13_acam, energySA, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1843200000.000000, 33177599999.999996, 18.000000, 18.000000
T41C13_acam, energyPC, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1509580802.272916, 22254240198.585648, 14.742000, 14.742000
T41C13_acam, energyREG, , Accumulator, 13497115000, 13, 0, 0, 102800001, 0, 0, 4836302654.692507, 15789104824341880832.000000, 8.170000, 3973550655.999999
T41C13__mpe, activeCycle, , Accumulator, 13497115000, 13, 620000, 620000, 620000, 1, 1, 0, 0, 0, 0
T41C14_ctrl, activeCycleF, , Accumulator, 13497115000, 13, 13497115, 13497115, 13497115, 1, 1, 0, 0, 0, 0
T41C14_ctrl, activeCycleD, , Accumulator, 13497115000, 13, 13285893, 13285893, 13285893, 1, 1, 0, 0, 0, 0
T41C14_ctrl, activeCycleM, , Accumulator, 13497115000, 13, 2291726, 2291726, 2291726, 1, 1, 0, 0, 0, 0
T41C14_ctrl, activeCycleALU, , Accumulator, 13497115000, 13, 9165893, 9165893, 9165893, 1, 1, 0, 0, 0, 0
T41C14_ctrl, activeCycleFPU, , Accumulator, 13497115000, 13, 1100000, 1100000, 1100000, 1, 1, 0, 0, 0, 0
T41C14_acam, energyCAM, , Accumulator, 13497115000, 13, 0, 0, 26316800000, 0, 0, 69969054581.059494, 929410592419.220947, 0.646400, 87.552000
T41C14_acam, energyDAC, , Accumulator, 13497115000, 13, 0, 0, 400000, 0, 0, 18455107.434941, 851477476.084525, 46.137769, 46.137769
T41C14_acam, energySA, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1843200000.000000, 33177599999.999996, 18.000000, 18.000000
T41C14_acam, energyPC, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1509580802.272916, 22254240198.585648, 14.742000, 14.742000
T41C14_acam, energyREG, , Accumulator, 13497115000, 13, 0, 0, 102800001, 0, 0, 4836302654.692507, 15789104824341880832.000000, 8.170000, 3973550655.999999
T41C14__mpe, activeCycle, , Accumulator, 13497115000, 13, 620000, 620000, 620000, 1, 1, 0, 0, 0, 0
T41C15_ctrl, activeCycleF, , Accumulator, 13497115000, 13, 13497115, 13497115, 13497115, 1, 1, 0, 0, 0, 0
T41C15_ctrl, activeCycleD, , Accumulator, 13497115000, 13, 13285893, 13285893, 13285893, 1, 1, 0, 0, 0, 0
T41C15_ctrl, activeCycleM, , Accumulator, 13497115000, 13, 2291726, 2291726, 2291726, 1, 1, 0, 0, 0, 0
T41C15_ctrl, activeCycleALU, , Accumulator, 13497115000, 13, 9165893, 9165893, 9165893, 1, 1, 0, 0, 0, 0
T41C15_ctrl, activeCycleFPU, , Accumulator, 13497115000, 13, 1100000, 1100000, 1100000, 1, 1, 0, 0, 0, 0
T41C15_acam, energyCAM, , Accumulator, 13497115000, 13, 0, 0, 26316800000, 0, 0, 70094939813.067535, 930316507722.166382, 0.646400, 87.552000
T41C15_acam, energyDAC, , Accumulator, 13497115000, 13, 0, 0, 400000, 0, 0, 18455107.434941, 851477476.084525, 46.137769, 46.137769
T41C15_acam, energySA, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1843200000.000000, 33177599999.999996, 18.000000, 18.000000
T41C15_acam, energyPC, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1509580802.272916, 22254240198.585648, 14.742000, 14.742000
T41C15_acam, energyREG, , Accumulator, 13497115000, 13, 0, 0, 102800001, 0, 0, 4836302654.692507, 15789104824341880832.000000, 8.170000, 3973550655.999999
T41C15__mpe, activeCycle, , Accumulator, 13497115000, 13, 620000, 620000, 620000, 1, 1, 0, 0, 0, 0
T42_ctrl, activeCycleF, , Accumulator, 13497115000, 13, 13497115, 13497115, 13497115, 1, 1, 0, 0, 0, 0
T42_ctrl, activeCycleD, , Accumulator, 13497115000, 13, 10929914, 10929914, 10929914, 1, 1, 0, 0, 0, 0
T42_ctrl, activeCycleM, , Accumulator, 13497115000, 13, 5977606, 9177606, 4377606, 1, 2, 0, 0, 0, 0
T42_ctrl, activeCycleALU, , Accumulator, 13497115000, 13, 10819813, 10819813, 10819813, 1, 1, 0, 0, 0, 0
T42_ctrl, activeCycleFPU, , Accumulator, 13497115000, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0
T42C00_ctrl, activeCycleF, , Accumulator, 13497115000, 13, 13497115, 13497115, 13497115, 1, 1, 0, 0, 0, 0
T42C00_ctrl, activeCycleD, , Accumulator, 13497115000, 13, 13285893, 13285893, 13285893, 1, 1, 0, 0, 0, 0
T42C00_ctrl, activeCycleM, , Accumulator, 13497115000, 13, 2291726, 2291726, 2291726, 1, 1, 0, 0, 0, 0
T42C00_ctrl, activeCycleALU, , Accumulator, 13497115000, 13, 9165893, 9165893, 9165893, 1, 1, 0, 0, 0, 0
T42C00_ctrl, activeCycleFPU, , Accumulator, 13497115000, 13, 1100000, 1100000, 1100000, 1, 1, 0, 0, 0, 0
T42C00_acam, energyCAM, , Accumulator, 13497115000, 13, 0, 0, 26316800000, 0, 0, 70114615924.296387, 930340417952.023438, 0.646400, 87.552000
T42C00_acam, energyDAC, , Accumulator, 13497115000, 13, 0, 0, 400000, 0, 0, 18455107.434941, 851477476.084525, 46.137769, 46.137769
T42C00_acam, energySA, , Accumulator, 13497115000, 13, 0, 0, 102400000, 0, 0, 1843200000.000000, 33177599999.999996, 18.000000, 18.000000
