ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T45C02_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C02_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C02_acam, energyCAM, , Accumulator, 13497115000, 14, 70451833838.785843, 932122203255.351807, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C02_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C02_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C02_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C02_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C02__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C03_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C03_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C03_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C03_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C03_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C03_acam, energyCAM, , Accumulator, 13497115000, 14, 70193330680.148819, 931109339930.749634, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C03_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C03_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C03_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C03_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C03__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C04_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C04_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C04_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C04_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C04_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C04_acam, energyCAM, , Accumulator, 13497115000, 14, 69975797686.485687, 929956093674.478638, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C04_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C04_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C04_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C04_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C04__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C05_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C05_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C05_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C05_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C05_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C05_acam, energyCAM, , Accumulator, 13497115000, 14, 70290129164.922333, 931099362824.169067, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C05_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C05_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
T45C05_acam, energyPC, , Accumulator, 13497115000, 14, 1509580802.272916, 22254240198.585648, 102400000, 14.742000, 14.742000, 0, 0, 0, 0
T45C05_acam, energyREG, , Accumulator, 13497115000, 14, 4836302654.692507, 15789104824341880832.000000, 102800001, 8.170000, 3973550655.999999, 0, 0, 0, 0
T45C05__mpe, activeCycle, , Accumulator, 13497115000, 14, 0, 0, 620000, 0, 0, 620000, 620000, 1, 1
T45C06_ctrl, activeCycleF, , Accumulator, 13497115000, 14, 0, 0, 13497115, 0, 0, 13497115, 13497115, 1, 1
T45C06_ctrl, activeCycleD, , Accumulator, 13497115000, 14, 0, 0, 13285893, 0, 0, 13285893, 13285893, 1, 1
T45C06_ctrl, activeCycleM, , Accumulator, 13497115000, 14, 0, 0, 2291726, 0, 0, 2291726, 2291726, 1, 1
T45C06_ctrl, activeCycleALU, , Accumulator, 13497115000, 14, 0, 0, 9165893, 0, 0, 9165893, 9165893, 1, 1
T45C06_ctrl, activeCycleFPU, , Accumulator, 13497115000, 14, 0, 0, 1100000, 0, 0, 1100000, 1100000, 1, 1
T45C06_acam, energyCAM, , Accumulator, 13497115000, 14, 70223134095.005966, 930826671078.180420, 26316800000, 0.646400, 87.552000, 0, 0, 0, 0
T45C06_acam, energyDAC, , Accumulator, 13497115000, 14, 18455107.434941, 851477476.084525, 400000, 46.137769, 46.137769, 0, 0, 0, 0
T45C06_acam, energySA, , Accumulator, 13497115000, 14, 1843200000.000000, 33177599999.999996, 102400000, 18.000000, 18.000000, 0, 0, 0, 0
